id, Start Time, End Time, Feed Type, Quantity (oz), Quantity (ml or g), Notes, Duration (Minutes), Food Type, Unit, Bottle Type
2304,08:29:07 03-11-2015,08:45:52 03-11-2015,Left Breast,,,,16,Breast Milk,,
2303,06:38:48 03-11-2015,06:52:28 03-11-2015,Right Breast,,,,13,Breast Milk,,
2302,04:33:05 03-11-2015,04:48:16 03-11-2015,Left Breast,,,,15,Breast Milk,,
2301,04:02:27 03-11-2015,04:12:01 03-11-2015,Right Breast,,,,9,Breast Milk,,
2300,03:44:10 03-11-2015,03:50:25 03-11-2015,Left Breast,,,,6,Breast Milk,,
2299,18:42:55 03-10-2015,19:09:04 03-10-2015,Right Breast,,,,26,Breast Milk,,
2298,18:31:01 03-10-2015,18:36:51 03-10-2015,Left Breast,,,,5,Breast Milk,,
2297,17:07:05 03-10-2015,17:19:53 03-10-2015,Right Breast,,,,12,Breast Milk,,
2296,17:02:53 03-10-2015,17:05:51 03-10-2015,Left Breast,,,,2,Breast Milk,,
2295,16:57:32 03-10-2015,17:01:19 03-10-2015,Left Breast,,,,3,Breast Milk,,
2294,16:53:04 03-10-2015,16:57:00 03-10-2015,Right Breast,,,,3,Breast Milk,,
2293,14:20:51 03-10-2015,14:24:16 03-10-2015,Right Breast,,,,3,Breast Milk,,
2292,14:10:43 03-10-2015,14:20:02 03-10-2015,Left Breast,,,,9,Breast Milk,,
2291,11:15:47 03-10-2015,11:21:52 03-10-2015,Right Breast,,,,6,Breast Milk,,
2290,08:11:22 03-10-2015,08:20:28 03-10-2015,Left Breast,,,,9,Breast Milk,,
2289,06:09:52 03-10-2015,06:14:57 03-10-2015,Left Breast,,,,5,Breast Milk,,
2288,00:26:34 03-10-2015,00:36:19 03-10-2015,Right Breast,,,,9,Breast Milk,,
2287,22:40:56 03-09-2015,22:50:15 03-09-2015,Left Breast,,,,9,Breast Milk,,
2286,19:01:50 03-09-2015,19:23:54 03-09-2015,Right Breast,,,,22,Breast Milk,,
2285,18:48:44 03-09-2015,18:50:23 03-09-2015,Right Breast,,,,1,Breast Milk,,
2284,18:03:01 03-09-2015,18:14:32 03-09-2015,Left Breast,,,,11,Breast Milk,,
2283,16:44:48 03-09-2015,17:00:31 03-09-2015,Right Breast,,,,15,Breast Milk,,
2282,14:23:27 03-09-2015,14:24:52 03-09-2015,Right Breast,,,,1,Breast Milk,,
2281,14:15:58 03-09-2015,14:19:23 03-09-2015,Left Breast,,,,3,Breast Milk,,
2280,14:12:04 03-09-2015,14:15:11 03-09-2015,Right Breast,,,,3,Breast Milk,,
2279,11:16:22 03-09-2015,11:23:32 03-09-2015,Left Breast,,,,7,Breast Milk,,
2278,11:08:45 03-09-2015,11:12:43 03-09-2015,Right Breast,,,,3,Breast Milk,,
2277,08:07:42 03-09-2015,08:13:16 03-09-2015,Right Breast,,,,5,Breast Milk,,
2276,08:00:19 03-09-2015,08:06:41 03-09-2015,Left Breast,,,,6,Breast Milk,,
2275,07:08:23 03-09-2015,07:11:12 03-09-2015,Left Breast,,,,2,Breast Milk,,
2274,05:54:31 03-09-2015,05:59:02 03-09-2015,Right Breast,,,,4,Breast Milk,,
2273,22:14:45 03-08-2015,22:30:49 03-08-2015,Left Breast,,,,16,Breast Milk,,
2272,21:55:51 03-08-2015,22:13:28 03-08-2015,Right Breast,,,,17,Breast Milk,,
2271,17:47:00 03-08-2015,17:55:14 03-08-2015,Left Breast,,,,8,Breast Milk,,
2270,16:55:00 03-08-2015,17:01:06 03-08-2015,Right Breast,,,,6,Breast Milk,,
2269,13:02:46 03-08-2015,13:09:48 03-08-2015,Left Breast,,,,7,Breast Milk,,
2268,12:26:09 03-08-2015,12:30:49 03-08-2015,Left Breast,,,,4,Breast Milk,,
2267,08:34:24 03-08-2015,08:51:42 03-08-2015,Right Breast,,,,17,Breast Milk,,
2266,07:09:21 03-08-2015,07:17:19 03-08-2015,Right Breast,,,,7,Breast Milk,,
2265,06:08:29 03-08-2015,06:12:57 03-08-2015,Left Breast,,,,4,Breast Milk,,
2263,05:48:06 03-08-2015,05:50:43 03-08-2015,Left Breast,,,,2,Breast Milk,,
2264,05:14:04 03-08-2015,05:17:06 03-08-2015,Left Breast,,,,3,Breast Milk,,
2261,21:08:14 03-07-2015,21:11:01 03-07-2015,Right Breast,,,,2,Breast Milk,,
2260,20:42:45 03-07-2015,20:47:52 03-07-2015,Right Breast,,,,5,Breast Milk,,
2259,13:52:26 03-07-2015,14:23:40 03-07-2015,Right Breast,,,,31,Breast Milk,,
2258,12:15:57 03-07-2015,12:26:01 03-07-2015,Left Breast,,,,10,Breast Milk,,
2257,09:17:59 03-07-2015,09:30:34 03-07-2015,Right Breast,,,,12,Breast Milk,,
2256,07:53:57 03-07-2015,08:00:00 03-07-2015,Left Breast,,,,6,Breast Milk,,
2255,05:32:04 03-07-2015,05:37:06 03-07-2015,Left Breast,,,,5,Breast Milk,,
2254,02:26:32 03-07-2015,02:40:23 03-07-2015,Right Breast,,,,13,Breast Milk,,
2253,18:46:54 03-06-2015,18:59:14 03-06-2015,Left Breast,,,,12,Breast Milk,,
2252,16:29:23 03-06-2015,16:44:06 03-06-2015,Right Breast,,,,14,Breast Milk,,
2251,15:08:37 03-06-2015,15:19:22 03-06-2015,Left Breast,,,,10,Breast Milk,,
2250,13:39:01 03-06-2015,13:51:30 03-06-2015,Right Breast,,,,12,Breast Milk,,
2248,11:41:10 03-06-2015,11:44:42 03-06-2015,Right Breast,,,,3,Breast Milk,,
2247,11:11:56 03-06-2015,11:22:53 03-06-2015,Left Breast,,,,10,Breast Milk,,
2246,07:53:02 03-06-2015,07:58:57 03-06-2015,Left Breast,,,,5,Breast Milk,,
2245,06:30:50 03-06-2015,06:36:00 03-06-2015,Right Breast,,,,5,Breast Milk,,
